Time,Ampl
996585,4.09677
996586,4.09688
996587,4.09649
996588,4.09678
996589,4.09626
996590,4.09586
996591,4.0961
996592,4.09571
996593,4.12674
996594,4.13915
996595,4.13877
996596,4.13826
996597,4.13788
996598,4.13842
996599,4.13797
996600,4.1381
996601,4.13804
996602,4.17323
996603,4.18166
996604,4.18118
996605,4.18137
996606,4.18055
996607,4.18042
996608,4.18044
996609,4.17914
996610,4.17868
996611,2.70986
996612,3.74891
996613,3.74901
996614,3.74854
996615,3.74875
996616,3.74843
996617,3.74836
996618,3.74797
996619,3.74828
996620,3.78749
996621,3.79153
996622,3.79086
996623,3.79147
996624,3.79096
996625,3.8226
996626,3.83466
996627,3.8344
996628,3.83398
996629,3.8342
996630,3.83375
996631,3.83314
996632,3.83364
996633,3.83908
996634,3.87707
996635,3.87704
996636,3.87701
996637,3.87669
996638,3.87687
996639,3.87642
996640,3.87659
996641,3.87644
996642,3.91888
996643,3.91973
996644,3.91929
996645,3.91939
996646,3.91944
996647,3.91927
996648,3.91922
996649,3.91906
996650,3.91826
996651,3.96285
996652,3.96336
996653,3.96268
996654,3.96225
996655,3.96256
996656,3.9628
996657,3.96219
996658,3.96202
996659,3.96144
996660,4.00445
996661,4.00444
996662,4.004
996663,4.00446
996664,4.0045
996665,4.00414
996666,4.04747
996667,4.04765
996668,4.0469
996669,4.04735
996670,4.04643
996671,4.0466
996672,4.04679
996673,4.04625
996674,4.0472
996675,4.0898
996676,4.09002
996677,4.08976
996678,4.08967
996679,4.08951
996680,4.08911
996681,4.08839
996682,4.08871
996683,4.10074
996684,4.13233
996685,4.13167
996686,4.13164
996687,4.13176
996688,4.13086
996689,4.1313
996690,4.13155
996691,4.13088
996692,4.15125
996693,4.17395
996694,4.17368
996695,4.17315
996696,4.17326
996697,4.17239
996698,4.17227
996699,4.1721
996700,4.17208
996701,4.2102
996702,4.21581
996703,4.21522
996704,4.2154
996705,4.21494
996706,4.21517
996707,4.21445
996708,4.2146
996709,4.21417
996710,4.25766
996711,4.25694
996712,4.25672
996713,4.25633
996714,4.25631
996715,4.25601
996716,4.25597
996717,4.25607
996718,4.25579
996719,4.29883
996720,4.29867
996721,4.29814
996722,4.29752
996723,4.29809
996724,4.29824
996725,4.29754
996726,4.29753
996727,4.30375
996728,4.33982
996729,4.33997
996730,4.34048
996731,4.33972
996732,4.33938
996733,4.33842
996734,4.33866
996735,4.33819
996736,4.33777
996737,4.38087
996738,4.38121
996739,4.38064
996740,4.38048
996741,4.38026
996742,4.38009
996743,4.38011
996744,4.38017
996745,4.39767
996746,4.4222
996747,4.42157
996748,4.42097
996749,4.42112
996750,4.42118
996751,4.42052
996752,4.42035
996753,4.42049
996754,4.44403
996755,4.46265
996756,4.46259
996757,4.46225
996758,4.46199
996759,4.46209
996760,4.46167
996761,4.46107
996762,4.46016
996763,4.49522
996764,4.50385
996765,4.50295
996766,4.50222
996767,4.50305
996768,4.50277
996769,4.50249
996770,4.50263
996771,4.50229
996772,4.54549
996773,4.54482
996774,4.54474
996775,4.54432
996776,4.54425
996777,4.54362
996778,4.54358
996779,4.54296
996780,4.55011
996781,4.58485
996782,4.5849
996783,4.58509
996784,4.58441
996785,4.58456
996786,4.58376
996787,4.58338
996788,4.58349
996789,4.59838
996790,4.62592
996791,4.62559
996792,4.6253
996793,4.62477
996794,4.62458
996795,4.624
996796,4.62345
996797,4.62314
996798,4.64938
996799,4.66638
996800,4.66629
996801,4.66608
996802,4.66572
996803,4.66553
996804,4.66515
996805,4.66446
996806,4.66354
996807,4.69929
996808,4.7064
996809,4.70585
996810,4.70547
996811,4.70481
996812,4.70448
996813,4.70497
996814,4.70396
996815,4.70337
996816,4.74463
996817,4.74666
996818,4.74647
996819,4.74593
