Time,Ampl
997769,1.83262
997770,1.83244
997771,1.83208
997772,1.83208
997773,1.83223
997774,1.83921
997775,1.92933
997776,1.92932
997777,1.92909
997778,1.92883
997779,1.92827
997780,1.92812
997781,1.92834
997782,1.92833
997783,2.02525
997784,2.0248
997785,2.02585
997786,2.02566
997787,2.02536
997788,2.02544
997789,2.02531
997790,2.02488
997791,2.07968
997792,2.12148
997793,2.12095
997794,2.12015
997795,2.12041
997796,2.12044
997797,2.12006
997798,2.12023
997799,2.15476
997800,2.21664
997801,2.21604
997802,2.21565
997803,2.21561
997804,2.21554
997805,2.21583
997806,2.21523
997807,2.21533
997808,2.31089
997809,2.31047
997810,2.31035
997811,2.31041
997812,2.30995
997813,2.31003
997814,2.30981
997815,2.30967
997816,2.3985
997817,2.40472
997818,2.40402
997819,2.40398
997820,2.40353
997821,2.40314
997822,2.40302
997823,2.403
997824,2.45141
997825,2.49836
997826,2.49799
997827,2.49747
997828,2.49745
997829,2.49757
997830,2.49751
997831,2.49725
997832,2.49683
997833,2.59229
997834,2.59198
997835,2.59156
997836,2.59122
997837,2.65191
997838,2.68524
997839,2.68487
997840,2.68501
997841,2.68403
997842,2.68421
997843,2.68381
997844,2.68307
997845,2.57639
997846,1.27636
997847,1.68407
997848,1.68638
997849,1.68615
997850,1.6863
997851,1.68616
997852,1.68595
997853,1.68586
997854,1.71726
997855,1.78172
997856,1.78134
997857,1.78142
997858,1.78145
997859,1.78139
997860,1.78139
997861,1.78114
997862,1.78133
997863,1.87946
997864,1.87732
997865,1.87752
997866,1.8776
997867,1.8774
997868,1.87723
997869,1.87733
997870,1.87751
997871,1.91516
997872,1.97281
997873,1.97251
997874,1.97262
997875,1.97242
997876,1.97227
997877,1.97238
997878,1.97221
997879,1.9723
997880,2.06934
997881,2.06749
997882,2.06771
997883,2.06749
997884,2.06732
997885,2.06719
997886,2.06703
997887,2.06696
997888,2.11604
997889,2.1623
997890,2.16215
997891,2.16221
997892,2.16202
997893,2.162
997894,2.16178
997895,2.16198
997896,2.162
997897,2.25806
997898,2.25732
997899,2.25753
997900,2.25715
997901,2.25706
997902,2.2574
997903,2.25701
997904,2.25732
997905,2.31023
997906,2.35251
997907,2.35202
997908,2.35214
997909,2.35169
997910,2.35165
997911,2.35138
997912,2.35138
997913,2.35131
997914,2.44677
997915,2.44551
997916,2.44576
997917,2.44532
997918,2.44539
997919,2.44532
997920,2.44525
997921,2.44505
997922,2.5275
997923,2.54068
997924,2.54057
997925,2.54047
997926,2.54027
997927,2.54
997928,2.54017
997929,2.54031
997930,2.55765
997931,2.63557
997932,2.63464
997933,2.6352
997934,2.63522
997935,2.63527
997936,2.63482
997937,2.63434
997938,2.63471
997939,1.31478
997940,1.56831
997941,1.55091
997942,1.54797
997943,1.54698
997944,1.54746
997945,1.54782
997946,1.54734
997947,1.57525
997948,1.63522
997949,1.63369
997950,1.63584
997951,1.63514
997952,1.63445
997953,1.63371
997954,1.63299
997955,1.63224
997956,1.70867
997957,1.72009
997958,1.71859
997959,1.71833
997960,1.71921
997961,1.71932
997962,1.71974
997963,1.71988
997964,1.72314
997965,1.81096
997966,1.80651
997967,1.80627
997968,1.80689
997969,1.80687
997970,1.80682
997971,1.80642
997972,1.8065
997973,1.88249
997974,1.89536
997975,1.89463
997976,1.89505
997977,1.89532
997978,1.89558
997979,1.89563
997980,1.89563
997981,1.89583
997982,1.98725
997983,1.98366
997984,1.98418
997985,1.98428
997986,1.98438
997987,1.98438
997988,1.98458
997989,1.98447
997990,2.0277
997991,2.07394
997992,2.07303
997993,2.07354
997994,2.07394
997995,2.07427
997996,2.0743
997997,2.07411
997998,2.0743
997999,2.16628
998000,2.16326
998001,2.16414
998002,2.1649
998003,2.16537
998004,2.1654
998005,2.16584
998006,2.16601
998007,2.17965
998008,2.25746
998009,2.25623
998010,2.25741
998011,2.25795
998012,2.25823
998013,2.25806
998014,2.25847
998015,2.25884
998016,2.33526
998017,2.34929
998018,2.35067
998019,2.35187
998020,2.35273
998021,2.35295
998022,2.35305
998023,2.35317
998024,2.35371
998025,2.4493
998026,2.44524
998027,2.4466
998028,2.44788
998029,2.4488
998030,2.44901
998031,2.44959
998032,2.45026
998033,2.23587
998034,1.33319
998035,1.97115
998036,1.98965
998037,1.99398
998038,1.99489
998039,1.99539
998040,1.99576
998041,1.99617
998042,1.99625
998043,2.11036
998044,2.11006
998045,2.1105
998046,2.11032
998047,2.1103
998048,2.11048
998049,2.11069
998050,2.11085
998051,2.17721
998052,2.2246
998053,2.22482
998054,2.22439
998055,2.22464
998056,2.22431
998057,2.22467
998058,2.22448
998059,2.22794
998060,2.33788
998061,2.33686
998062,2.33696
998063,2.33717
998064,2.33719
998065,2.33749
998066,2.33744
998067,2.33717
998068,2.44714
998069,2.45095
998070,2.44999
998071,2.44958
998072,2.44995
998073,2.44984
998074,2.44948
998075,2.4498
998076,2.46149
998077,2.56266
998078,2.56207
998079,2.56228
998080,2.56151
998081,2.5617
998082,2.5616
998083,2.56198
998084,2.56227
998085,2.63271
998086,2.67424
998087,2.67387
998088,2.67354
998089,2.67372
998090,2.67399
998091,2.67411
998092,2.67385
998093,2.67395
998094,2.7844
998095,2.78563
998096,2.78576
998097,2.78636
998098,2.78608
998099,2.78626
998100,2.78632
998101,2.78629
998102,2.84978
998103,2.89928
998104,2.89818
998105,2.89845
998106,2.89861
998107,2.89785
998108,2.89793
998109,2.89794
998110,2.89766
998111,3.00776
998112,3.00891
998113,3.00986
998114,3.00915
998115,3.0098
998116,3.0094
998117,3.00945
998118,3.0095
998119,3.0416
998120,3.12071
998121,3.12094
998122,3.12013
998123,3.11929
998124,3.1176
998125,3.11725
998126,3.1168
998127,3.11577
998128,1.8597
998129,1.39922
998130,1.97443
998131,1.97352
998132,1.97426
998133,1.97444
998134,1.97482
998135,1.97485
998136,1.97494
998137,2.00975
998138,2.0856
998139,2.08592
998140,2.08582
998141,2.08576
998142,2.08565
998143,2.0856
998144,2.08552
998145,2.0854
998146,2.19561
998147,2.19641
998148,2.19632
998149,2.19619
998150,2.19595
998151,2.19623
998152,2.19617
998153,2.19612
998154,2.27285
998155,2.3071
998156,2.30677
998157,2.3067
998158,2.30648
998159,2.30643
998160,2.30652
998161,2.30648
998162,2.32319
998163,2.41698
998164,2.4175
998165,2.41726
998166,2.4167
998167,2.41681
998168,2.41633
998169,2.41622
998170,2.41614
998171,2.51464
998172,2.52668
998173,2.52635
998174,2.52593
998175,2.52604
998176,2.52571
998177,2.52528
998178,2.52479
998179,2.55816
998180,2.63496
998181,2.6346
998182,2.63454
998183,2.63395
998184,2.63374
998185,2.63366
998186,2.63384
998187,2.6335
998188,2.74043
998189,2.74341
998190,2.74274
998191,2.74225
998192,2.74184
998193,2.74162
998194,2.74133
998195,2.74133
998196,2.80169
998197,2.85075
998198,2.84971
998199,2.84965
998200,2.84918
998201,2.84897
998202,2.84859
998203,2.84841
998204,2.84818
998205,2.95629
998206,2.95631
998207,2.95552
998208,2.95523
998209,2.9549
998210,2.95421
998211,2.95417
998212,2.95413
998213,2.9798
998214,3.06139
998215,3.06159
998216,3.06079
998217,3.06056
998218,3.05993
998219,3.06005
998220,3.06043
998221,3.05995
998222,1.3652
998223,1.82911
998224,1.82887
998225,1.82895
998226,1.82906
998227,1.82977
998228,1.8295
998229,1.82956
998230,1.86503
998231,1.93257
998232,1.93289
998233,1.93268
998234,1.93277
998235,1.93298
998236,1.93327
998237,1.93299
998238,1.93303
998239,2.02487
998240,2.03504
998241,2.03516
998242,2.03492
998243,2.03482
998244,2.03494
998245,2.03524
998246,2.03485
998247,2.06671
998248,2.13614
998249,2.13595
998250,2.13599
998251,2.13595
998252,2.13604
998253,2.13608
998254,2.13635
998255,2.13645
998256,2.18622
998257,2.23819
998258,2.23801
998259,2.23788
998260,2.23777
998261,2.23781
998262,2.23769
998263,2.23782
998264,2.23773
998265,2.33195
998266,2.3398
998267,2.3395
998268,2.3395
998269,2.33927
998270,2.33906
998271,2.33891
998272,2.33909
998273,2.35411
